📺4K频道,#genre#
怀旧剧场HD,http://219.139.229.55:8989/rtp/239.69.1.86:10156
怀旧剧场HD,http://219.139.229.55:8989/rtp/239.69.1.89:10174
兵器科技HD,http://27.17.212.8:55555/rtp/239.69.1.79:10114
兵器科技HD,http://59.174.118.10:60002/rtp/239.69.1.79:10114
兵器科技HD,http://59.173.123.57:4022/rtp/239.69.1.79:10114
兵器科技HD,http://219.139.231.142:8989/rtp/239.69.1.79:10114
兵器科技HD,http://219.139.229.55:8989/rtp/239.69.1.79:10114
高尔夫网球HD,http://27.17.212.8:55555/rtp/239.69.1.83:10138
高尔夫网球HD,http://59.174.118.10:60002/rtp/239.69.1.83:10138
高尔夫网球HD,http://59.173.123.57:4022/rtp/239.69.1.83:10138
高尔夫网球HD,http://219.139.231.142:8989/rtp/239.69.1.83:10138
高尔夫网球HD,http://219.139.229.55:8989/rtp/239.69.1.83:10138
央视台球HD,http://27.17.212.8:55555/rtp/239.69.1.98:10224
央视台球HD,http://59.174.118.10:60002/rtp/239.69.1.98:10224
央视台球HD,http://59.173.123.57:4022/rtp/239.69.1.98:10224
央视台球HD,http://219.139.231.142:8989/rtp/239.69.1.98:10224
央视台球HD,http://219.139.229.55:8989/rtp/239.69.1.98:10224
梨园频道HD,http://27.17.212.8:55555/rtp/239.69.1.33:9838
梨园频道HD,http://59.174.118.10:60002/rtp/239.69.1.33:9838
梨园频道HD,http://59.173.123.57:4022/rtp/239.69.1.33:9838
梨园频道HD,http://219.139.231.142:8989/rtp/239.69.1.33:9838
梨园频道HD,http://219.139.229.55:8989/rtp/239.69.1.33:9838
中学生HD,http://27.17.212.8:55555/rtp/239.69.2.17:11256
中学生HD,http://59.174.118.10:60002/rtp/239.69.2.17:11256
中学生HD,http://59.173.123.57:4022/rtp/239.69.2.17:11256
中学生HD,http://219.139.231.142:8989/rtp/239.69.2.17:11256
中学生HD,http://219.139.229.55:8989/rtp/239.69.2.17:11256
法治天地HD,http://27.17.212.8:55555/rtp/239.69.2.10:11214
法治天地HD,http://59.174.118.10:60002/rtp/239.69.2.10:11214
法治天地HD,http://59.173.123.57:4022/rtp/239.69.2.10:11214
法治天地HD,http://219.139.231.142:8989/rtp/239.69.2.10:11214
法治天地HD,http://219.139.229.55:8989/rtp/239.69.2.10:11214
游戏风云HD,http://27.17.212.8:55555/rtp/239.69.2.8:11202
游戏风云HD,http://59.174.118.10:60002/rtp/239.69.2.8:11202
游戏风云HD,http://59.173.123.57:4022/rtp/239.69.2.8:11202
游戏风云HD,http://219.139.231.142:8989/rtp/239.69.2.8:11202
游戏风云HD,http://219.139.229.55:8989/rtp/239.69.2.8:11202
茶频道HD,http://27.17.212.8:55555/rtp/239.69.1.144:10500
茶频道HD,http://59.174.118.10:60002/rtp/239.69.1.144:10500
茶频道HD,http://59.173.123.57:4022/rtp/239.69.1.144:10500
茶频道HD,http://219.139.231.142:8989/rtp/239.69.1.144:10500
茶频道HD,http://219.139.229.55:8989/rtp/239.69.1.144:10500
金色学堂HD,http://27.17.212.8:55555/rtp/239.69.2.13:11232
金色学堂HD,http://59.174.118.10:60002/rtp/239.69.2.13:11232
金色学堂HD,http://59.173.123.57:4022/rtp/239.69.2.13:11232
